xflr5 v6.57

Plane name :        h5
Polar name :        no-inertia
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.138170   0.001333   0.023140   0.024473   0.000000  -0.000000   0.027611  -0.000000  -0.000000   20.0000    -0.0219
   -4.500     0.000   0.189745   0.001489   0.023144   0.024633   0.000000  -0.000000   0.004032  -0.000000  -0.000000   20.0000    -0.0010
   -4.000     0.000   0.241312   0.001740   0.023216   0.024956   0.000000  -0.000000  -0.019585  -0.000000  -0.000000   20.0000     0.0110
   -3.500     0.000   0.292865   0.002084   0.023337   0.025420   0.000000  -0.000000  -0.043235  -0.000000  -0.000000   20.0000     0.0187
   -3.000     0.000   0.344396   0.002522   0.023504   0.026026   0.000000  -0.000000  -0.066910  -0.000000  -0.000000   20.0000     0.0242
   -2.500     0.000   0.395901   0.003053   0.023709   0.026762   0.000000  -0.000000  -0.090604  -0.000000  -0.000000   20.0000     0.0282
   -2.000     0.000   0.447372   0.003679   0.023959   0.027638   0.000000  -0.000000  -0.114311  -0.000000  -0.000000   20.0000     0.0313
   -1.500     0.000   0.498803   0.004398   0.024243   0.028641   0.000000  -0.000000  -0.138022  -0.000000  -0.000000   20.0000     0.0338
   -1.000     0.000   0.550188   0.005211   0.024583   0.029794   0.000000  -0.000000  -0.161733  -0.000000  -0.000000   20.0000     0.0358
   -0.500     0.000   0.601520   0.006117   0.024958   0.031074   0.000000  -0.000000  -0.185435  -0.000000  -0.000000   20.0000     0.0374
    0.000     0.000   0.652793   0.007115   0.025405   0.032520   0.000000  -0.000000  -0.209122  -0.000000  -0.000000   20.0000     0.0388
    0.500     0.000   0.704000   0.008206   0.025892   0.034097   0.000000  -0.000000  -0.232787  -0.000000  -0.000000   20.0000     0.0400
    1.000     0.000   0.755136   0.009388   0.026497   0.035885   0.000000  -0.000000  -0.256425  -0.000000  -0.000000   20.0000     0.0411
    1.500     0.000   0.806194   0.010661   0.027185   0.037847   0.000000  -0.000000  -0.280029  -0.000000  -0.000000   20.0000     0.0420
    2.000     0.000   0.857167   0.012025   0.028011   0.040036   0.000000  -0.000000  -0.303593   0.000000  -0.000000   20.0000     0.0428
    2.500     0.000   0.908050   0.013479   0.029025   0.042504   0.000000  -0.000000  -0.327112   0.000000  -0.000000   20.0000     0.0435
    3.000     0.000   0.958836   0.015021   0.030255   0.045276   0.000000  -0.000000  -0.350581   0.000000  -0.000000   20.0000     0.0441
    3.500     0.000   1.009519   0.016652   0.031817   0.048469   0.000000  -0.000000  -0.373998   0.000000  -0.000000   20.0000     0.0447
    4.000     0.000   1.060092   0.018370   0.033941   0.052310   0.000000  -0.000000  -0.397365   0.000000  -0.000000   20.0000     0.0452
    4.500     0.000   1.110551   0.020173   0.037073   0.057246   0.000000  -0.000000  -0.420691   0.000000  -0.000000   20.0000     0.0457
    5.000     0.000   1.160888   0.022062   0.042540   0.064602   0.000000  -0.000000  -0.444021   0.000000  -0.000000   20.0000     0.0461
    5.500     0.000   1.211097   0.024034   0.056524   0.080558   0.000000  -0.000000  -0.467577   0.000000  -0.000000   20.0000     0.0465
    6.000     0.000   1.261173   0.026090   0.074554   0.100643   0.000000  -0.000000  -0.491267   0.000000  -0.000000   20.0000     0.0469
    6.500     0.000   1.311108   0.028226   0.079927   0.108154   0.000000  -0.000000  -0.514420   0.000000  -0.000000   20.0000     0.0472
    7.000     0.000   1.360899   0.030443   0.080766   0.111209  -0.000000  -0.000000  -0.537265  -0.000000  -0.000000   20.0000     0.0476


